Country,Year,Secure Internet Servers by Million Population
Morocco,2008,1.421411254
Morocco,2009,1.982314937
Morocco,2010,3.002304506
Morocco,2011,4.335698608
Morocco,2012,3.566910302
Morocco,2013,3.635465786
Mozambique,2007,0.225515714
Mozambique,2008,0.219659286
Mozambique,2009,0.342450727
Mozambique,2010,0.834471518
Mozambique,2011,1.098392941
Mozambique,2012,1.507733383
Mozambique,2013,1.587071053
Myanmar,2007,0.019673824
Myanmar,2008,0.019538023
Myanmar,2009,0.019402221
Myanmar,2010,0.057768706
Myanmar,2011,0.076407673
Myanmar,2012,0.094701778
Myanmar,2013,0.131433141
Namibia,2007,9.612149757
Namibia,2008,8.527608844
Namibia,2009,8.864015735
Namibia,2010,14.68585802
Namibia,2011,20.74297737
Namibia,2012,19.91685377
Namibia,2013,18.23458797
Nepal,2007,1.001925933
Nepal,2008,0.990498378
Nepal,2009,1.167830724
Nepal,2010,1.676226372
Nepal,2011,2.172602837
Nepal,2012,2.475033374
Nepal,2013,2.37431791
Netherlands,2007,780.5052664
Netherlands,2008,1105.037684
Netherlands,2009,1414.122887
Netherlands,2010,2276.683899
Netherlands,2011,2750.302311
Netherlands,2012,2805.855364
Netherlands,2013,2382.139157
New Zealand,2007,828.4653407
New Zealand,2008,980.1119726
New Zealand,2009,1059.131563
New Zealand,2010,1489.537067
New Zealand,2011,1597.43031
New Zealand,2012,1466.050079
New Zealand,2013,1100.921535
Nigeria,2007,0.489172463
Nigeria,2008,0.793608384
Nigeria,2009,0.80447406
Nigeria,2010,1.195934224
Nigeria,2011,1.674859011
Nigeria,2012,1.741357725
Nigeria,2013,1.676119124
Norway,2007,621.980216
Norway,2008,845.1805415
Norway,2009,1010.82563
Norway,2010,1651.172817
Norway,2011,1810.183869
Norway,2012,1879.020192
Norway,2013,1725.741957
Pakistan,2007,0.408715201
Pakistan,2008,0.532908338
Pakistan,2009,0.617305729
Pakistan,2010,0.976036254
Pakistan,2011,1.118261215
Pakistan,2012,1.272604704
Pakistan,2013,1.279217534
Peru,2007,8.577961135
Peru,2008,10.09584838
Peru,2009,10.57568243
Peru,2010,14.14764054
Peru,2011,18.50420702
Peru,2012,21.67548136
Peru,2013,21.36583099
Philippines,2007,3.938091048
Philippines,2008,4.570035613
Philippines,2009,5.267373627
Philippines,2010,6.656370197
Philippines,2011,7.532605055
Philippines,2012,8.624008968
Philippines,2013,8.059469412
Poland,2007,55.193313
Poland,2008,84.69339587
Poland,2009,123.0092481
Poland,2010,210.7968474
Poland,2011,267.4510305
Poland,2012,299.6688307
Poland,2013,309.0001551
Portugal,2007,87.07228821
Portugal,2008,115.929104
Portugal,2009,137.1088318
Portugal,2010,174.6885965
Portugal,2011,225.4308761
Portugal,2012,241.1828459
Portugal,2013,218.3596904
Qatar,2007,35.57610292
Qatar,2008,47.82527441
Qatar,2009,57.54174014
Qatar,2010,85.72834516
Qatar,2011,123.5018855
Qatar,2012,140.9402716
Qatar,2013,161.8501268
South Korea,2007,497.4931711
South Korea,2008,690.8457504
South Korea,2009,918.4653958
South Korea,2010,1128.083123
South Korea,2011,2496.110844
South Korea,2012,2751.535609
South Korea,2013,1994.895665
Russia,2007,4.461178853
Russia,2008,7.326192648
Russia,2009,10.53490215
Russia,2010,20.25486819
Russia,2011,26.93127684
Russia,2012,39.04231097
Russia,2013,51.13593803
Rwanda,2007,0.293457052
Rwanda,2008,0.293457052
Rwanda,2009,0.569818536
Rwanda,2010,0.645951196
Rwanda,2011,0.897318498
Rwanda,2012,2.007365986
Rwanda,2013,2.547441426
Saudi Arabia,2007,6.173881825
Saudi Arabia,2008,7.737132296
Saudi Arabia,2009,10.41185608
Saudi Arabia,2010,17.60925912
Saudi Arabia,2011,21.79259159
Saudi Arabia,2012,30.54314298
Saudi Arabia,2013,34.23651361
Senegal,2007,3.191943132
Senegal,2008,1.062196421
Senegal,2009,0.873929546
Senegal,2010,1.081034
Senegal,2011,1.35026293
Senegal,2012,2.112775436
Senegal,2013,2.193404503
Sierra Leone,2007,0.738550392
Sierra Leone,2008,0.723047631
Sierra Leone,2009,0.354535627
Sierra Leone,2010,0.173853298
Sierra Leone,2011,0.681954844
Sierra Leone,2012,0.669038744
Sierra Leone,2013,0.820738418
Singapore,2007,359.5868021
Singapore,2008,390.3376452
Singapore,2009,420.8436924
Singapore,2010,529.6747887
Singapore,2011,607.2882304
Singapore,2012,635.3060763
Singapore,2013,609.3495333
South Africa,2007,30.19817033
South Africa,2008,36.15727576
South Africa,2009,39.70292812
South Africa,2010,61.4786735
South Africa,2011,72.45112549
South Africa,2012,82.00869461
South Africa,2013,86.35009583
Spain,2007,141.6195613
Spain,2008,168.7118013
Spain,2009,191.3165742
Spain,2010,230.9299394
Spain,2011,281.6268817
Spain,2012,290.9887124
Spain,2013,269.0395253
Sweden,2007,600.6717029
Sweden,2008,772.156214
Sweden,2009,857.0185669
Sweden,2010,1268.377072
Sweden,2011,1451.972773
Sweden,2012,1511.443925
Sweden,2013,1439.137364
Switzerland,2007,812.7274415
Switzerland,2008,974.9368272
Switzerland,2009,1117.792989
Switzerland,2010,1867.625553
Switzerland,2011,2136.014897
Switzerland,2012,2282.270506
Switzerland,2013,2212.836705
Thailand,2007,7.158323207
Thailand,2008,9.27697886
Thailand,2009,10.03359595
Thailand,2010,13.73446071
Thailand,2011,17.28842616
Thailand,2012,19.57026249
Thailand,2013,18.10164025
Tunisia,2007,8.899668463
Tunisia,2008,10.64973037
Tunisia,2009,12.45258439
Tunisia,2010,14.12442768
Tunisia,2011,19.2995934
Tunisia,2012,13.08281141
Tunisia,2013,16.99352409
Turkey,2007,40.54879703
Turkey,2008,60.11638618
Turkey,2009,69.44027238
Turkey,2010,99.83705295
Turkey,2011,143.6380459
Turkey,2012,116.7612884
Turkey,2013,50.43196062
Uganda,2007,0.065085635
Uganda,2008,0.220272642
Uganda,2009,0.304281286
Uganda,2010,0.853262078
Uganda,2011,1.479455597
Uganda,2012,1.458212847
Uganda,2013,1.170870571
Ukraine,2007,2.838138998
Ukraine,2008,4.280322192
Ukraine,2009,5.993055872
Ukraine,2010,13.23284798
Ukraine,2011,17.72192333
Ukraine,2012,23.49029353
Ukraine,2013,26.48957124
United Arab Emirates,2007,71.92945325
United Arab Emirates,2008,82.95782903
United Arab Emirates,2009,98.20791289
United Arab Emirates,2010,135.6388061
United Arab Emirates,2011,159.4380609
United Arab Emirates,2012,183.6915173
United Arab Emirates,2013,194.1980471
United Kingdom,2007,750.3123285
United Kingdom,2008,898.9920963
United Kingdom,2009,1141.570537
United Kingdom,2010,1384.148979
United Kingdom,2011,1576.979233
United Kingdom,2012,1467.414897
United Kingdom,2013,1193.455209
United Republic of Tanzania,2007,0.072957743
United Republic of Tanzania,2008,0.188885103
United Republic of Tanzania,2009,0.229148873
